,online_order,book_table,rate,votes,location,rest_type,cost,menu_item
508,1,0,4.3,860,1,37,500.0,8242
509,0,0,3.5,14,1,83,200.0,8242
510,0,0,4.0,66,1,0,300.0,8242
511,1,0,3.2,8,1,83,100.0,658
512,1,0,3.7,54,1,13,400.0,8242
513,0,0,3.5,7,1,37,500.0,8242
514,0,0,3.2,9,1,37,300.0,8242
515,0,0,3.6,42,1,14,300.0,8242
516,0,0,3.8,64,1,73,250.0,8242
517,1,0,3.6,14,1,0,350.0,7363
518,0,0,3.8,45,1,86,400.0,8242
519,0,0,3.2,11,1,16,600.0,8242
520,0,0,3.5,13,1,0,300.0,8242
521,0,0,3.4,7,1,37,150.0,8242
522,0,0,3.4,8,1,0,400.0,8242
525,0,0,2.9,25,1,37,200.0,8242
527,0,0,3.2,17,1,37,150.0,8242
532,1,0,3.9,35,1,36,500.0,2641
533,1,0,3.9,70,1,37,400.0,8242
535,0,0,4.0,98,4,84,400.0,8242
536,0,0,3.7,25,4,37,250.0,8242
537,1,0,4.0,219,4,16,600.0,7877
538,1,0,4.0,73,4,0,300.0,4953
539,0,0,3.6,16,4,5,150.0,8242
540,0,0,3.6,8,4,0,250.0,8242
541,1,0,3.8,15,4,0,400.0,8242
542,0,0,3.6,46,4,84,200.0,8242
544,1,0,3.3,13,4,44,300.0,6992
545,1,0,3.3,9,4,37,250.0,941
546,1,0,4.0,43,4,37,250.0,1207
547,1,0,2.7,97,4,24,400.0,8242
549,1,0,3.7,22,4,83,250.0,5476
550,0,0,3.5,15,4,5,400.0,8242
552,1,0,3.6,27,4,37,250.0,4677
554,1,0,3.9,888,1,24,750.0,4467
555,1,1,4.0,349,1,24,1200.0,1877
556,1,0,4.2,287,1,73,350.0,8242
557,1,1,4.6,2556,1,26,600.0,8242
558,1,1,4.2,354,1,24,800.0,1000
559,1,1,4.1,775,1,24,800.0,8242
560,1,1,4.2,2115,1,24,800.0,8242
561,0,1,3.8,977,1,57,1300.0,8242
562,0,0,4.1,868,1,68,1200.0,8242
563,1,0,4.0,324,1,16,700.0,7262
564,1,0,4.1,787,1,24,800.0,8242
565,1,0,4.2,504,1,16,550.0,1456
566,1,0,4.1,402,1,16,500.0,5574
567,1,1,4.2,150,1,16,600.0,2289
568,1,1,4.2,164,1,16,500.0,3342
569,0,0,4.2,244,1,24,800.0,8242
570,1,0,4.0,771,1,24,450.0,7390
571,1,0,4.2,1647,1,24,600.0,8242
572,0,1,4.0,808,1,24,850.0,8242
573,0,0,4.0,424,1,16,450.0,8242
574,1,0,3.9,135,1,24,800.0,5957
576,0,0,3.9,28,1,62,300.0,8242
577,1,0,3.8,918,1,19,800.0,8242
578,1,0,3.8,90,1,16,650.0,8242
579,1,0,3.9,519,1,24,900.0,8242
580,1,0,3.6,105,1,24,700.0,8242
581,0,0,3.7,43,1,7,700.0,8242
582,0,0,3.7,46,1,84,400.0,8242
583,1,0,3.9,133,1,16,800.0,2121
584,1,0,3.8,144,1,16,700.0,8242
585,0,0,3.9,93,1,16,300.0,8242
586,1,0,3.8,42,1,73,300.0,4753
587,1,0,2.5,247,1,24,500.0,4664
588,1,0,3.1,13,1,16,400.0,4951
589,0,0,3.7,39,1,24,450.0,8242
590,1,0,3.0,62,1,16,400.0,3956
591,1,0,3.8,160,1,24,700.0,6616
592,0,0,3.5,14,1,83,200.0,8242
593,0,0,3.8,42,1,24,700.0,8242
594,1,0,3.1,119,1,24,700.0,8242
595,1,0,3.6,129,1,24,600.0,2179
597,0,0,3.3,62,1,6,800.0,8242
599,1,0,3.6,24,1,24,600.0,8242
601,0,0,2.6,283,1,24,600.0,8242
602,0,0,3.6,42,1,14,300.0,8242
603,0,0,3.4,10,1,73,300.0,8242
604,0,0,3.7,39,1,24,950.0,8242
605,1,0,3.8,59,1,24,750.0,8242
606,1,0,3.5,179,1,24,600.0,5854
607,0,0,3.8,62,1,73,150.0,8242
608,0,0,3.4,6,1,24,500.0,8242
609,0,0,3.1,30,1,6,1000.0,8242
610,0,0,3.5,10,1,73,300.0,8242
611,0,0,3.6,36,1,24,500.0,8242
612,0,0,3.7,31,1,16,300.0,8242
614,0,0,3.2,11,1,16,600.0,8242
615,0,0,3.0,98,1,6,800.0,8242
616,0,0,3.5,18,1,14,150.0,8242
617,0,0,3.5,10,1,24,500.0,8242
618,0,0,2.7,128,1,24,850.0,8242
620,1,0,2.8,45,1,24,800.0,3550
621,1,0,3.2,119,1,24,400.0,8242
622,1,0,3.4,12,1,14,150.0,8242
624,0,0,3.3,4,1,16,500.0,8242
629,1,0,3.5,41,79,55,400.0,8242
630,1,0,3.7,405,1,24,750.0,6893
631,1,0,3.9,388,1,24,650.0,1503
632,0,0,4.7,651,1,73,100.0,8242
634,1,0,4.3,734,1,73,200.0,7669
635,0,0,3.7,21,1,73,450.0,8242
636,0,0,4.0,1047,1,73,450.0,8242
637,1,0,3.8,505,1,73,450.0,1058
638,0,0,3.6,55,1,73,200.0,8242
639,1,0,3.9,264,1,73,200.0,5231
640,1,0,3.8,133,1,73,300.0,2175
642,1,0,3.9,286,1,73,500.0,5514
643,0,0,4.4,343,1,73,100.0,8242
644,1,0,3.6,66,1,73,150.0,5234
645,1,0,3.4,10,1,73,100.0,8242
646,1,0,3.8,61,1,73,300.0,8242
647,0,0,3.8,70,1,73,500.0,8242
648,1,0,3.6,28,1,73,300.0,898
649,1,0,3.8,70,1,73,100.0,198
650,1,0,3.8,28,1,73,150.0,7577
651,1,0,3.5,15,1,73,250.0,8242
652,1,0,3.8,131,1,73,250.0,3214
653,0,0,3.8,19,1,73,150.0,8242
654,1,0,3.7,237,1,73,200.0,3380
655,1,0,3.3,6,1,73,500.0,4050
